Y,X,Y,S
ABS 595,GLG 695,ABS 595,0.9999998999999999
ABS 595,AIS 595,ABS 595,0.9999998999999999
ACC 194,DAH 494,ACC 194,1.0
ACC 194,RUS 294,ACC 194,1.0
ACC 242,TGM 501,ACC 242,0.9045651
ACC 242,TAM 521,ACC 242,0.9035125
ACO 320,CIS 360,ACO 320,0.94282883
ACO 320,CIS 355,ACO 320,0.9097514000000001
ACT 515,STP 501,ACT 515,0.9016161
ACT 515,STP 502,ACT 515,0.8963485999999999
ADE 510,PUP 420,ADE 510,0.8794867000000001
ADE 510,ADE 522,ADE 510,0.8789582
ADE 512,LDE 261,ADE 512,0.94083464
ADE 512,LDE 262,ADE 512,0.9252535
AES 102 (LAB),AES 204 (LAB),AES 102 (LAB),0.9842601000000001
AES 102 (LAB),AES 304 (LAB),AES 102 (LAB),0.9833671999999999
AFR 194,RUS 294,AFR 194,1.0
AFR 194,FRE 194,AFR 194,1.0
AGB 701,ACC 410,AGB 701,0.85244334
AGB 701,ECN 715,AGB 701,0.8360337999999999
AIS 360,AIS 513,AIS 360,0.8463767
AIS 360,AIS 523,AIS 360,0.8275421000000001
AIS 598,STP 598,AIS 598,1.0000001
AIS 598,THP 598,AIS 598,1.0000001
ALD 420,CDE 576,ALD 420,0.85143596
ALD 420,SWG 571,ALD 420,0.8475720999999999
AME 386,LDE 622,AME 386,0.9223898000000001
AME 386,IND 622,AME 386,0.9102644
AML 492,BLE 492,AML 492,1.0000002000000001
AML 492,TCL 492,AML 492,1.0000002000000001
AML 494,FRE 194,AML 494,1.0
AML 494,RUS 194,AML 494,1.0
AMS 354,AFR 354,AMS 354,1.0
AMS 354,ETH 354,AMS 354,1.0
AMT 194,FRE 294,AMT 194,1.0
AMT 194,FRE 194,AMT 194,1.0
AMT 370,AMT 470,AMT 370,0.9572690999999999
AMT 370,AMT 495,AMT 370,0.9019768
AMT 491,SCM 511,AMT 491,0.80902195
AMT 491,ATC 432,AMT 491,0.79325306
ANB 580,MKT 580,ANB 580,0.99999976
ANB 580,SPE 680,ANB 580,0.99999976
APA 494,DAH 494,APA 494,1.0
APA 494,ART 494,APA 494,1.0
APA 498,ART 498,APA 498,1.0000001
APA 498,SER 498,APA 498,1.0
APH 191,TCL 191,APH 191,1.0000002000000001
APH 191,POS 191,APH 191,1.0000002000000001
APL 594,POS 594,APL 594,0.9999998999999999
APL 594,GRA 594,APL 594,0.9999998999999999
APL 792,SST 792,APL 792,1.0000001
APL 792,AST 792,APL 792,1.0000001
ARB 351,ARB 352,ARB 351,0.8828975
ARB 351,SLC 331,ARB 351,0.7579633000000001
ARE 592,BUS 592,ARE 592,0.99999994
ARE 592,MET 592,ARE 592,0.99999994
ARS 302,ARS 565,ARS 302,0.7629471
ARS 302,MCE 447,ARS 302,0.7463088000000001
ART 432,ART 532,ART 432,0.8175616
ART 432,ART 461,ART 432,0.7779775999999999
ART 476,ART 576,ART 476,0.99999994
ART 476,ART 578,ART 476,0.8537667999999999
ASB 211,SOC 264,ASB 211,0.8947911
ASB 211,WST 447,ASB 211,0.87644583
ASB 305,SSH 305,ASB 305,0.9999998999999999
ASB 305,WST 305,ASB 305,0.9999998999999999
ASB 375,SOS 375,ASB 375,0.9999995
ASB 375,BIO 412,ASB 375,0.7880005999999999
ASB 380,ECD 549,ASB 380,0.84873897
ASB 380,SOC 421,ASB 380,0.83442855
ASB 599,MET 599,ASB 599,1.0
ASB 599,MGT 599,ASB 599,1.0
ASM 201,SSH 201,ASM 201,0.99999976
ASM 201,IBC 611,ASM 201,0.8781303
ASM 344,ASM 460,ASM 344,0.8306041999999999
ASM 344,ASM 560,ASM 344,0.8306041999999999
ASM 446,BIO 446,ASM 446,1.0000002000000001
ASM 446,MCB 540,ASM 446,0.9147968000000001
AST 191,MUP 191,AST 191,1.0000002000000001
AST 191,OMT 191,AST 191,1.0000002000000001
AST 592,OBS 592,AST 592,0.99999994
AST 592,ASB 692,AST 592,0.99999994
ASU 101-BME,ASU 101-CEE,ASU 101-BME,1.0000001
ASU 101-BME,ASU 101-LA,ASU 101-BME,1.0000001
ASU 101-TPS,ASU 101-UC,ASU 101-TPS,1.0000001
ASU 101-TPS,ASU 101-WPC,ASU 101-TPS,1.0000001
ASU 140-CHS,ASU 140-CLS,ASU 140-CHS,0.99999994
ASU 140-CHS,ASU 240-WPC,ASU 140-CHS,0.99999994
ASU 240-TE,ASU 240-WPC,ASU 240-TE,0.99999994
ASU 240-TE,ASU 340-CHS,ASU 240-TE,0.99999994
