source,target,value
ABS 595,GLG 695,0.9999998999999999
ABS 595,AIS 595,0.9999998999999999
ABS 595,LSE 595,0.9999998999999999
ABS 595,CEN 595,0.9999998999999999
ABS 595,SWG 695,0.9999998999999999
ABS 595,SWG 795,0.9999998999999999
ACC 194,DAH 494,1.0
ACC 194,RUS 294,1.0
ACC 194,ART 494,1.0
ACC 194,FRE 294,1.0
ACC 194,FRE 194,1.0
ACC 194,DAH 294,1.0
ACC 242,TGM 501,0.9045651
ACC 242,TAM 521,0.9035125
ACC 242,TGM 511,0.8992113000000002
ACC 242,TAM 511,0.8987584000000001
ACC 242,ACC 420,0.8979572
ACC 242,ACC 320,0.8975903000000001
ACO 320,CIS 360,0.94282883
ACO 320,CIS 355,0.9097514000000001
ACO 320,ACO 422,0.8799249
ACO 320,CIS 415,0.87522686
ACO 320,CIS 450,0.8563863000000002
ACO 320,ACO 420,0.8364166999999999
ACT 515,STP 501,0.9016161
ACT 515,STP 502,0.8963485999999999
ACT 515,STP 505,0.89527845
ACT 515,IEE 640,0.89436066
ACT 515,SOC 510,0.89150774
ACT 515,STP 540,0.88172984
ADE 510,PUP 420,0.8794867000000001
ADE 510,ADE 522,0.8789582
ADE 510,INT 222,0.8739892
ADE 510,ADE 621,0.87389785
ADE 510,ADE 511,0.8735919
ADE 510,LTC 344,0.86415637
ADE 512,LDE 261,0.94083464
ADE 512,LDE 262,0.9252535
ADE 512,ADE 522,0.91683996
ADE 512,INT 222,0.86354876
ADE 512,ADE 621,0.84803224
ADE 512,INT 621,0.8469803
AES 102 (LAB),AES 204 (LAB),0.9842601000000001
AES 102 (LAB),AES 304 (LAB),0.9833671999999999
AES 102 (LAB),AES 104 (LAB),0.9829424000000001
AES 102 (LAB),AES 202 (LAB),0.973936
AES 102 (LAB),AES 302 (LAB),0.9691266
AES 102 (LAB),AES 402 (LAB),0.9618273
AFR 194,RUS 294,1.0
AFR 194,FRE 194,1.0
AFR 194,RUS 194,1.0
AFR 194,FMP 394,1.0
AFR 194,FRE 294,1.0
AFR 194,ART 494,1.0
AGB 701,ACC 410,0.85244334
AGB 701,ECN 715,0.8360337999999999
AGB 701,SCM 485,0.8287029
AGB 701,SOS 485,0.8287029
AGB 701,EDP 651,0.8270259
AGB 701,TGM 400,0.8260225
AIS 360,AIS 513,0.8463767
AIS 360,AIS 523,0.8275421000000001
AIS 360,AIS 522,0.7988144
AIS 360,AIS 430,0.79392684
AIS 360,AIS 510,0.7726875
AIS 360,AIS 508,0.758039
AIS 598,STP 598,1.0000001
AIS 598,THP 598,1.0000001
AIS 598,MCO 598,1.0000001
AIS 598,EEE 598,1.0000001
AIS 598,TSS 598,1.0000001
AIS 598,LTC 598,1.0000001
ALD 420,CDE 576,0.85143596
ALD 420,SWG 571,0.8475720999999999
ALD 420,SWG 603,0.84648824
ALD 420,CDE 533,0.84586763
ALD 420,EDP 514,0.8358154000000001
ALD 420,PSY 341,0.8343951
AME 386,LDE 622,0.9223898000000001
AME 386,IND 622,0.9102644
AME 386,GRA 622,0.8971399
AME 386,AME 485,0.8949126000000001
AME 386,AME 486,0.8949126000000001
AME 386,IND 521,0.8940573
AML 492,BLE 492,1.0000002000000001
AML 492,TCL 492,1.0000002000000001
AML 492,JHR 492,1.0000002000000001
AML 492,MKT 492,1.0000002000000001
AML 492,DSC 492,1.0000002000000001
AML 492,ADE 492,1.0000002000000001
AML 494,FRE 194,1.0
AML 494,RUS 194,1.0
AML 494,RUS 294,1.0
AML 494,DAH 494,1.0
AML 494,DAH 294,1.0
AML 494,DAH 194,1.0
AMS 354,AFR 354,1.0
AMS 354,ETH 354,1.0
AMS 354,ENG 354,1.0
AMS 354,AFR 353,0.94009423
AMS 354,ETH 353,0.94009423
AMS 354,ENG 353,0.94009423
AMT 194,FRE 294,1.0
AMT 194,FRE 194,1.0
AMT 194,RUS 294,1.0
AMT 194,ART 494,1.0
AMT 194,RUS 194,1.0
AMT 194,DAH 194,1.0
AMT 370,AMT 470,0.9572690999999999
AMT 370,AMT 495,0.9019768
AMT 370,AMT 460,0.8651389000000002
AMT 370,AMT 490,0.8157984
AMT 370,AMT 533,0.81429344
AMT 370,SGS 505,0.78005075
AMT 491,SCM 511,0.80902195
AMT 491,ATC 432,0.79325306
AMT 491,ATC 433,0.79325306
AMT 491,ATC 431,0.79325306
AMT 491,TMC 430,0.78810984
AMT 491,EEE 488,0.7849301
ANB 580,MKT 580,0.99999976
ANB 580,SPE 680,0.99999976
ANB 580,IBC 780,0.99999976
ANB 580,IBC 680,0.99999976
ANB 580,REL 580,0.99999976
ANB 580,AIS 580,0.99999976
APA 494,DAH 494,1.0
APA 494,ART 494,1.0
APA 494,FRE 294,1.0
APA 494,FRE 194,1.0
APA 494,RUS 194,1.0
APA 494,RUS 294,1.0
APA 498,ART 498,1.0000001
APA 498,SER 498,1.0
APA 498,ACT 498,1.0
APA 498,ENG 498,1.0
APA 498,GER 498,1.0
APA 498,MLS 498,1.0
APH 191,TCL 191,1.0000002000000001
APH 191,POS 191,1.0000002000000001
APH 191,AVC 191,1.0000002000000001
APH 191,IND 191,1.0000002000000001
APH 191,ATE 191,1.0000002000000001
APH 191,NEW 191,1.0000002000000001
APL 594,POS 594,0.9999998999999999
APL 594,GRA 594,0.9999998999999999
APL 594,MTC 594,0.9999998999999999
APL 594,ABS 594,0.9999998999999999
APL 594,THP 594,0.9999998999999999
APL 594,CMN 594,0.9999998999999999
APL 792,SST 792,1.0000001
APL 792,AST 792,1.0000001
APL 792,MCO 792,1.0000001
APL 792,HON 792,1.0000001
APL 792,SED 792,1.0000001
APL 792,MHL 792,1.0000001
ARB 351,ARB 352,0.8828975
ARB 351,SLC 331,0.7579633000000001
ARB 351,MSA 202,0.75637865
ARB 351,ARB 411,0.7435563000000001
ARB 351,ARB 421,0.7435563000000001
ARB 351,MSA 101,0.74262655
ARE 592,BUS 592,0.99999994
ARE 592,MET 592,0.99999994
ARE 592,HHE 592,0.99999994
ARE 592,SDO 592,0.99999994
ARE 592,ARE 692,0.99999994
ARE 592,BUS 692,0.99999994
ARS 302,ARS 565,0.7629471
ARS 302,MCE 447,0.7463088000000001
ARS 302,SGS 454,0.7382441
ARS 302,ARE 540,0.72638464
ARS 302,SGS 240,0.71550566
ARS 302,ARS 585,0.7046443
ART 432,ART 532,0.8175616
ART 432,ART 461,0.7779775999999999
ART 432,ART 561,0.7779775999999999
ART 432,ART 477,0.7685422
ART 432,ART 439,0.7603359000000001
ART 432,ART 454,0.7599336
ART 476,ART 576,0.99999994
ART 476,ART 578,0.8537667999999999
ART 476,ART 478,0.7737682
ART 476,LDE 622,0.74536175
ART 476,ART 555,0.7294748000000001
ART 476,ART 554,0.7226326999999999
ASB 211,SOC 264,0.8947911
ASB 211,WST 447,0.87644583
ASB 211,SOS 447,0.87644583
ASB 211,SGS 454,0.87644583
ASB 211,WST 378,0.8563209999999999
ASB 211,SOC 315,0.8346323
ASB 305,SSH 305,0.9999998999999999
ASB 305,WST 305,0.9999998999999999
ASB 305,ASB 510,0.8599258
ASB 305,SSH 510,0.8599258
ASB 305,SGS 340,0.81680095
ASB 305,WST 365,0.8132201
ASB 375,SOS 375,0.9999995
ASB 375,BIO 412,0.7880005999999999
ASB 375,SOS 412,0.7880005999999999
ASB 375,ASB 530,0.78296506
ASB 375,SOS 553,0.78296506
ASB 375,SOS 326,0.77906215
ASB 380,ECD 549,0.84873897
ASB 380,SOC 421,0.83442855
ASB 380,ASB 421,0.83442855
ASB 380,SLC 201,0.8314645
ASB 380,ELL 515,0.8296318000000001
ASB 380,TSS 507,0.8279036
ASB 599,MET 599,1.0
ASB 599,MGT 599,1.0
ASB 599,SPE 599,1.0
ASB 599,FRE 599,1.0
ASB 599,PPE 599,1.0
ASB 599,PUB 599,1.0
ASM 201,SSH 201,0.99999976
ASM 201,IBC 611,0.8781303
ASM 201,HCD 501,0.871192
ASM 201,HCD 562,0.85657465
ASM 201,IBC 609,0.83412504
ASM 201,NTR 511,0.83283585
ASM 344,ASM 460,0.8306041999999999
ASM 344,ASM 560,0.8306041999999999
ASM 344,ASM 530,0.8257363000000001
ASM 344,ASM 552,0.8231687
ASM 344,BIO 344,0.81803536
ASM 344,HPS 311,0.81803536
ASM 446,BIO 446,1.0000002000000001
ASM 446,MCB 540,0.9147968000000001
ASM 446,BIO 552,0.8994783000000002
ASM 446,BIO 455,0.8749261999999999
ASM 446,BIO 431,0.8638524
ASM 446,BIO 354 (LAB),0.85413074
AST 191,MUP 191,1.0000002000000001
AST 191,OMT 191,1.0000002000000001
AST 191,POR 191,1.0000002000000001
AST 191,TGM 191,1.0000002000000001
AST 191,ASM 191,1.0000002000000001
AST 191,AFR 191,1.0000002000000001
AST 592,OBS 592,0.99999994
AST 592,ASB 692,0.99999994
AST 592,ART 592,0.99999994
AST 592,EDP 692,0.99999994
AST 592,MSE 592,0.99999994
AST 592,EDP 592,0.99999994
ASU 101-BME,ASU 101-CEE,1.0000001
ASU 101-BME,ASU 101-LA,1.0000001
ASU 101-BME,ASU 101-CHE,1.0000001
ASU 101-BME,ASU 101-WPC,1.0000001
ASU 101-BME,ASU 101-UC,1.0000001
ASU 101-BME,ASU 101-TPS,1.0000001
ASU 101-TPS,ASU 101-UC,1.0000001
ASU 101-TPS,ASU 101-WPC,1.0000001
ASU 101-TPS,TEM 400,0.86659896
ASU 101-TPS,TEM 480,0.8565531999999999
ASU 101-TPS,TEM 481,0.8467870000000001
ASU 101-TPS,UNI 120,0.83961916
ASU 140-CHS,ASU 140-CLS,0.99999994
ASU 140-CHS,ASU 240-WPC,0.99999994
ASU 140-CHS,ASU 340-CLS,0.99999994
ASU 140-CHS,ASU 340-CPSCS,0.99999994
ASU 140-CHS,ASU 340-CS,0.99999994
ASU 140-CHS,ASU 340-FSE,0.99999994
ASU 240-TE,ASU 240-WPC,0.99999994
ASU 240-TE,ASU 340-CHS,0.99999994
ASU 240-TE,ASU 440-WPC,0.99999994
ASU 240-TE,ASU 440-TE,0.99999994
ASU 240-TE,ASU 440-TB,0.99999994
ASU 240-TE,ASU 440-NU,0.99999994
ATE 563,CON 424,0.86269367
ATE 563,MEE 322,0.86220855
ATE 563,MET 231,0.8533666
ATE 563,EEE 525,0.83650756
ATE 563,THP 335,0.83120245
ATE 563,INT 352,0.8303231
BIO 201M,BIO 202,0.9639073
BIO 201M,BIO 475,0.7854258000000001
BIO 201M,BIO 351,0.7562747
BIO 201M,PPE 315,0.743134
BIO 201M,PSY 101,0.7380865
BIO 201M,BIO 506,0.7345119000000001
BIO 412,SOS 412,1.0000002000000001
BIO 412,SOS 326,0.9165741
BIO 412,SOS 535,0.91389644
BIO 412,ELS 535,0.91389644
BIO 412,BIO 528,0.8802565
BIO 412,SOS 429,0.8802565
BIO 795,MLS 595,0.9999998999999999
BIO 795,POS 795,0.9999998999999999
BIO 795,PLA 595,0.9999998999999999
BIO 795,CDE 795,0.9999998999999999
BIO 795,CDE 595,0.9999998999999999
BIO 795,ESS 695,0.9999998999999999
BLE 522,ECS 478,0.8632199
BLE 522,SPE 504,0.8596075000000001
BLE 522,ECD 578,0.8581926999999999
BLE 522,ECD 478,0.8581926999999999
BLE 522,SPE 578,0.8427752000000001
BLE 522,SPE 495,0.84197176
BME 362 (LAB),BDE 702,0.86085916
BME 362 (LAB),BMI 550,0.842625
BME 362 (LAB),BMI 330,0.83807975
BME 362 (LAB),BIO 355,0.82925886
BME 362 (LAB),BCH 361,0.8244212
BME 362 (LAB),BIO 543,0.8215568999999999
BMI 550,BDE 702,0.9262345
BMI 550,BMI 612,0.86545897
BMI 550,BMI 603,0.8654265999999999
BMI 550,HCD 562,0.8643894
BMI 550,IEE 605,0.8559648000000001
BMI 550,BIO 440,0.85562503
BMI 608,DNP 706,0.93400204
BMI 608,IBC 725,0.92479783
BMI 608,IBC 430,0.9228983000000001
BMI 608,IBC 604,0.9004187
BMI 608,IBC 630,0.89364403
BMI 608,SHS 538,0.8922155999999999
BUS 599,MET 599,1.0
BUS 599,SDO 599,1.0
BUS 599,BUS 799,0.9945718000000001
BUS 599,SGS 493,0.854137
BUS 599,MET 493,0.854137
BUS 599,BUS 792,0.8295386999999999
BUS 791,MET 591,1.0000002000000001
BUS 791,SDO 591,1.0000001
BUS 791,SGS 497,0.900206
BUS 791,MET 494,0.7433484
BUS 791,MET 394,0.7433484
BUS 791,SGS 294,0.7433484
CAP 320,CAP 330,0.87000656
CAP 320,CAP 342,0.80224186
CAP 320,CAP 400,0.8006638
CAP 320,CAP 420,0.7884661999999999
CAP 320,CAP 440,0.7692614000000001
CAP 320,CAP 325,0.7542289000000001
CAP 420,CDE 244,0.87199914
CAP 420,CDE 573,0.78687084
CAP 420,CDE 572,0.7799659000000001
CAP 420,CAP 440,0.7744831
CAP 420,CDE 570,0.768848
CAP 420,CDE 534,0.7594757
CDE 294,SGS 294,0.9999998999999999
CDE 294,HUL 394,0.9999998999999999
CDE 294,HUL 494,0.9999998999999999
CDE 294,MET 194,0.9999998999999999
CDE 294,GRK 194,0.9999998999999999
CDE 294,GRK 294,0.9999998999999999
CDE 450,CDE 570,0.7762095
CDE 450,CDE 576,0.7743689
CDE 450,CDE 531,0.7556979
CDE 450,CDE 533,0.7349349000000001
CDE 450,CDE 612,0.719849
CDE 450,CDE 534,0.6815126
CDE 531,CDE 533,0.8666896999999999
CDE 531,CDE 612,0.8293587
CDE 531,CDE 576,0.8185142
CDE 531,CDE 574,0.81364655
CDE 531,CDE 575,0.8133978000000001
CDE 531,SMC 562,0.80546093
CDE 570,CDE 576,0.8144026999999999
CDE 570,CDE 612,0.7958164000000001
CDE 570,CDE 610,0.7639925
CDE 570,CDE 575,0.73937416
CDE 570,CDE 574,0.73729604
CDE 570,CDE 571,0.70387506
CED 394,DAH 294,1.0
CED 394,DAH 494,1.0
CED 394,RUS 294,1.0
CED 394,FMP 394,1.0
CED 394,RUS 194,1.0
CED 394,DAH 194,1.0
CED 683,RDG 783,1.0
CED 683,EDP 683,1.0
CED 683,MUS 583,1.0
CED 683,MUS 683,1.0
CED 683,GLG 583,1.0
CED 683,RDG 583,1.0
CHE 492,ASB 492,1.0000002000000001
CHE 492,LSC 492,1.0000002000000001
CHE 492,ACO 492,1.0000002000000001
CHE 492,CRJ 492,1.0000002000000001
CHE 492,CEE 492,1.0000002000000001
CHE 492,GLG 492,1.0000002000000001
CHE 543,MAE 581,0.8986573
CHE 543,PHY 541,0.8903324
CHE 543,MET 432,0.89024425
CHE 543,MAE 241,0.8868396000000001
CHE 543,MAE 404,0.88605714
CHE 543,MSE 330,0.88460016
CHI 333,SLC 333,1.0
CHI 333,SLC 334,0.99572855
CHI 333,POS 452,0.85281944
CHI 333,POS 442,0.84854263
CHI 333,POS 451,0.8400294
CHI 333,SGS 240,0.83916175
CHI 598,EDA 598,1.0000001
CHI 598,PSB 598,1.0000001
CHI 598,IED 598,1.0000001
CHI 598,COM 598,1.0000001
CHI 598,PUB 598,1.0000001
CHI 598,ENG 598,1.0000001
CHM 112 (LAB),CHM 118,0.9677995
CHM 112 (LAB),CHM 117,0.93109816
CHM 112 (LAB),CHM 303 (LAB),0.8729514000000002
CHM 112 (LAB),CHM 235,0.86712575
CHM 112 (LAB),PHY 444,0.8636913
CHM 112 (LAB),BCH 361,0.8571469
CHM 471,CHM 571,0.8613261000000001
CHM 471,GLG 321,0.86085105
CHM 471,CHM 549,0.8600045000000001
CHM 471,MSE 330,0.8578526
CHM 471,CHM 532,0.8567543
CHM 471,MSE 514,0.8482139000000001
CHM 544,PHY 544,1.0000002000000001
CHM 544,MSE 544,1.0000002000000001
CHM 544,PHY 581,0.85336536
CHM 544,MSE 546,0.8424113000000001
CHM 544,PHY 546,0.8424113000000001
CHM 544,EEE 537,0.8403059000000002
COE 792,SEC 692,1.0000001
COE 792,SOS 792,1.0000001
