Year,Celsius
1, 0.06499950587749481,
2, 0.029532646760344505,
3, 0.04166499897837639,
4, -0.003981018904596567,
5, -0.09653770178556442,
6, -0.03366357833147049,
7, -0.03659563884139061,
8, 0.010866679251194,
9, -0.01834343746304512,
10, 0.08158621937036514,
11, 0.009693274274468422,
12, 0.03951619565486908,
13, 0.03480881452560425,
14, -0.03513533994555473,
15, 0.03823023661971092,
16, -0.012272387742996216,
17, -0.018439218401908875,
18, 0.08022940903902054,
19, -0.05517064034938812,
20, -0.025097282603383064,
21, 0.007035048212856054,
22, -0.05158153548836708,
23, -0.04337267205119133,
24, -0.04946140572428703,
25, 0.08492235094308853,
26, 0.022182798013091087,
27, -0.07062425464391708,
28, 0.03676198050379753,
29, -0.010599380359053612,
30, 0.02727775275707245,
31, -0.04681829735636711,
32, -0.0985034927725792,
33, -0.009216669015586376,
34, 0.06193387135863304,
35, -0.010499312542378902,
36, 0.0074478634633123875,
37, -0.08947127312421799,
38, 0.0026474343612790108,
39, 0.032400671392679214,
40, 0.014052662998437881,
41, -0.0006537676090374589,
42, -0.028755689039826393,
43, 0.03134196251630783,
44, 0.025968441739678383,
45, 0.03034185618162155,
46, 0.04307477921247482,
47, -0.025630060583353043,
48, 0.010115860030055046,
49, 0.000289165269350633,
50, 0.06573720276355743,
51, 0.009265288710594177,
52, 0.06509356200695038,
53, -0.02359631098806858,
54, -0.07120718061923981,
55, 0.014438130892813206,
56, 0.023581400513648987,
57, -0.014167587272822857,
58, 0.014020320028066635,
59, -0.0847272053360939,
60, -0.04810626432299614,
61, -0.030375434085726738,
62, -0.04207161068916321,
63, -0.03463125601410866,
64, -0.01894804835319519,
65, -0.045804932713508606,
66, 0.08341231197118759,
67, -0.015490157529711723,
68, 0.007526219356805086,
69, -0.024254189804196358,
70, -0.04994582012295723,
71, -0.032066460698843,
72, 0.005037376191467047,
73, 0.05329417809844017,
74, -0.03450680524110794,
75, -0.05814240127801895,
76, 0.054084159433841705,
77, 0.07111075520515442,
78, 0.07039497047662735,
79, 0.02366461046040058,
80, 0.05207163095474243,
81, 0.002423070603981614,
82, 0.013864737935364246,
83, 0.04040440171957016,
84, -0.07233888655900955,
85, 0.014464180916547775,
86, 0.08493972569704056,
87, -0.09847553819417953,
88, -0.056550033390522,
89, -0.04086305946111679,
90, 0.0035668478813022375,
91, 0.015982288867235184,
92, 0.022067347541451454,
93, -0.06903757899999619,
94, -0.027476970106363297,
