Y,,X,Y,S
ABS 595,1187109,GLG 695,ABS 595,0.9999998999999999
ABS 595,1192082,AIS 595,ABS 595,0.9999998999999999
ACC 194,1566214,DAH 494,ACC 194,1.0
ACC 194,1568324,RUS 294,ACC 194,1.0
ACC 242,1600778,TGM 501,ACC 242,0.9045651
ACC 242,1597332,TAM 521,ACC 242,0.9035125
ACO 320,1466205,CIS 360,ACO 320,0.94282883
ACO 320,1466204,CIS 355,ACO 320,0.9097514000000001
ACT 515,1541534,STP 501,ACT 515,0.9016161
ACT 515,1541535,STP 502,ACT 515,0.8963485999999999
ADE 510,2012596,PUP 420,ADE 510,0.8794867000000001
ADE 510,2011570,ADE 522,ADE 510,0.8789582
ADE 512,2026474,LDE 261,ADE 512,0.94083464
ADE 512,2026475,LDE 262,ADE 512,0.9252535
AES 102 (LAB),2026029,AES 204 (LAB),AES 102 (LAB),0.9842601000000001
AES 102 (LAB),2026034,AES 304 (LAB),AES 102 (LAB),0.9833671999999999
AFR 194,28420,RUS 294,AFR 194,1.0
AFR 194,29822,FRE 194,AFR 194,1.0
AGB 701,2006179,ACC 410,AGB 701,0.85244334
AGB 701,2005675,ECN 715,AGB 701,0.8360337999999999
AIS 360,1603217,AIS 513,AIS 360,0.8463767
AIS 360,1603226,AIS 523,AIS 360,0.8275421000000001
AIS 598,1700545,STP 598,AIS 598,1.0000001
AIS 598,1700802,THP 598,AIS 598,1.0000001
ALD 420,2065932,CDE 576,ALD 420,0.85143596
ALD 420,2062526,SWG 571,ALD 420,0.8475720999999999
AME 386,1652040,LDE 622,AME 386,0.9223898000000001
AME 386,1645105,IND 622,AME 386,0.9102644
AML 492,1249324,BLE 492,AML 492,1.0000002000000001
AML 492,1248221,TCL 492,AML 492,1.0000002000000001
AML 494,1275868,FRE 194,AML 494,1.0
AML 494,1274461,RUS 194,AML 494,1.0
AMS 354,1530956,AFR 354,AMS 354,1.0
AMS 354,1530149,ETH 354,AMS 354,1.0
AMT 194,244181,FRE 294,AMT 194,1.0
AMT 194,244177,FRE 194,AMT 194,1.0
AMT 370,475157,AMT 470,AMT 370,0.9572690999999999
AMT 370,475168,AMT 495,AMT 370,0.9019768
AMT 491,615444,SCM 511,AMT 491,0.80902195
AMT 491,610161,ATC 432,AMT 491,0.79325306
ANB 580,592661,MKT 580,ANB 580,0.99999976
ANB 580,591745,SPE 680,ANB 580,0.99999976
APA 494,755958,DAH 494,APA 494,1.0
APA 494,761578,ART 494,APA 494,1.0
APA 498,783670,ART 498,APA 498,1.0000001
APA 498,775859,SER 498,APA 498,1.0
APH 191,981567,TCL 191,APH 191,1.0000002000000001
APH 191,988777,POS 191,APH 191,1.0000002000000001
APL 594,1862038,POS 594,APL 594,0.9999998999999999
APL 594,1855842,GRA 594,APL 594,0.9999998999999999
APL 792,2057120,SST 792,APL 792,1.0000001
APL 792,2058847,AST 792,APL 792,1.0000001
ARB 351,700131,ARB 352,ARB 351,0.8828975
ARB 351,704879,SLC 331,ARB 351,0.7579633000000001
ARE 592,1514042,BUS 592,ARE 592,0.99999994
ARE 592,1514176,MET 592,ARE 592,0.99999994
ARS 302,1116224,ARS 565,ARS 302,0.7629471
ARS 302,1116499,MCE 447,ARS 302,0.7463088000000001
ART 432,1249686,ART 532,ART 432,0.8175616
ART 432,1249655,ART 461,ART 432,0.7779775999999999
ART 476,1272395,ART 576,ART 476,0.99999994
ART 476,1272397,ART 578,ART 476,0.8537667999999999
ASB 211,1401173,SOC 264,ASB 211,0.8947911
ASB 211,1400586,WST 447,ASB 211,0.87644583
ASB 305,1481502,SSH 305,ASB 305,0.9999998999999999
ASB 305,1480019,WST 305,ASB 305,0.9999998999999999
ASB 375,1706416,SOS 375,ASB 375,0.9999995
ASB 375,1705778,BIO 412,ASB 375,0.7880005999999999
ASB 380,1721643,ECD 549,ASB 380,0.84873897
ASB 380,1724148,SOC 421,ASB 380,0.83442855
ASB 599,2167218,MET 599,ASB 599,1.0
ASB 599,2165580,MGT 599,ASB 599,1.0
ASM 201,1220555,SSH 201,ASM 201,0.99999976
ASM 201,1217070,IBC 611,ASM 201,0.8781303
ASM 344,1297446,ASM 460,ASM 344,0.8306041999999999
ASM 344,1297462,ASM 560,ASM 344,0.8306041999999999
ASM 446,1363307,BIO 446,ASM 446,1.0000002000000001
