source,target,value
ABS 595,GLG 695,0.9999998999999999
ABS 595,AIS 595,0.9999998999999999
ABS 595,LSE 595,0.9999998999999999
ABS 595,CEN 595,0.9999998999999999
ABS 595,SWG 695,0.9999998999999999
ABS 595,SWG 795,0.9999998999999999
GLG 695,GTD 595,0.9999998999999999
GLG 695,MCO 595,0.9999998999999999
GLG 695,EDT 695,0.9999998999999999
GLG 695,EDT 795,0.9999998999999999
GLG 695,SLC 595,0.9999998999999999
GLG 695,NUR 595,0.9999998999999999
AIS 595,LSE 695,0.9999998999999999
AIS 595,ARS 795,0.9999998999999999
AIS 595,MUP 695,0.9999998999999999
AIS 595,MCE 595,0.9999998999999999
AIS 595,STC 595,0.9999998999999999
AIS 595,MUP 795,0.9999998999999999
LSE 595,STP 795,0.9999998999999999
LSE 595,CEN 795,0.9999998999999999
LSE 595,CEN 595,0.9999998999999999
LSE 595,NEU 795,0.9999998999999999
LSE 595,MUP 795,0.9999998999999999
LSE 595,BUS 595,0.9999998999999999
CEN 595,MUP 795,0.9999998999999999
CEN 595,BUS 795,0.9999998999999999
CEN 595,ARE 795,0.9999998999999999
CEN 595,ARE 595,0.9999998999999999
CEN 595,TSS 795,0.9999998999999999
CEN 595,ARE 695,0.9999998999999999
SWG 695,MUP 795,0.9999998999999999
SWG 695,CDE 795,0.9999998999999999
SWG 695,MUP 695,0.9999998999999999
SWG 695,ARS 595,0.9999998999999999
SWG 695,WST 595,0.9999998999999999
SWG 695,ARS 695,0.9999998999999999
SWG 795,LDE 595,0.9999998999999999
SWG 795,MUP 695,0.9999998999999999
SWG 795,RDG 795,0.9999998999999999
SWG 795,PSY 795,0.9999998999999999
SWG 795,STP 595,0.9999998999999999
SWG 795,BUS 695,0.9999998999999999 
